                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0246,                0.44375,                 1.0762,                0.97812,                0.97204,                0.98636,                0.71879,                 1.0621,                0.34976,                 1.0941,               0.006535,               0.006535,               0.006535
                     37,                 1.0206,                0.44382,                 1.0757,                0.98115,                0.96739,                0.98493,                0.71914,                 1.0627,                0.35202,                 1.0929,               0.006436,               0.006436,               0.006436
                     38,                 1.0222,                0.44539,                 1.0758,                0.98027,                0.97226,                0.98613,                0.71989,                 1.0623,                0.35165,                 1.0926,               0.006337,               0.006337,               0.006337
                     39,                 1.0165,                0.44096,                 1.0708,                0.98236,                0.96848,                0.98517,                0.72053,                 1.0655,                0.35226,                 1.0935,               0.006238,               0.006238,               0.006238
                     40,                 1.0174,                 0.4384,                 1.0739,                0.98231,                0.96848,                0.98583,                0.72233,                 1.0644,                 0.3502,                  1.093,               0.006139,               0.006139,               0.006139
                     41,                  1.008,                0.43472,                 1.0675,                0.98129,                0.96939,                0.98504,                0.72306,                 1.0634,                  0.348,                 1.0926,                0.00604,                0.00604,                0.00604
                     42,                 1.0112,                0.43568,                 1.0711,                0.98448,                0.96556,                0.98573,                0.72406,                 1.0635,                0.34776,                 1.0928,               0.005941,               0.005941,               0.005941
                     43,                 1.0094,                0.43443,                 1.0693,                 0.9818,                0.96732,                0.98481,                0.72371,                 1.0623,                0.34766,                 1.0926,               0.005842,               0.005842,               0.005842
                     44,                 1.0046,                0.43139,                  1.067,                0.98124,                0.96848,                0.98491,                0.72236,                 1.0617,                0.34594,                 1.0923,               0.005743,               0.005743,               0.005743
                     45,                 1.0063,                0.42976,                  1.064,                0.97807,                0.96959,                0.98465,                0.72214,                  1.061,                0.34569,                 1.0922,               0.005644,               0.005644,               0.005644
                     46,                0.99843,                0.42432,                 1.0644,                0.97598,                0.97178,                0.98584,                0.72204,                 1.0629,                0.34472,                 1.0929,               0.005545,               0.005545,               0.005545
                     47,                 1.0021,                0.42787,                 1.0657,                0.97921,                0.97283,                0.98634,                0.72152,                 1.0634,                0.34529,                 1.0925,               0.005446,               0.005446,               0.005446
                     48,                0.99863,                0.42603,                 1.0643,                0.97923,                0.97354,                 0.9871,                0.72205,                 1.0629,                0.34537,                 1.0921,               0.005347,               0.005347,               0.005347
                     49,                0.99263,                0.42685,                 1.0614,                0.97822,                 0.9712,                0.98677,                0.72185,                 1.0622,                0.34403,                 1.0921,               0.005248,               0.005248,               0.005248
                     50,                0.98872,                0.41919,                 1.0593,                0.98078,                0.97061,                0.98802,                0.72252,                 1.0628,                0.34253,                 1.0921,               0.005149,               0.005149,               0.005149
                     51,                0.98312,                0.41524,                 1.0587,                0.97846,                0.97174,                0.98827,                0.72206,                 1.0628,                0.34243,                 1.0922,                0.00505,                0.00505,                0.00505
                     52,                  0.982,                0.41505,                 1.0601,                0.97947,                0.97228,                0.98847,                 0.7229,                 1.0629,                0.34146,                 1.0923,               0.004951,               0.004951,               0.004951
                     53,                0.98216,                 0.4138,                  1.058,                0.97973,                0.97202,                0.98835,                0.72314,                 1.0627,                0.34169,                 1.0922,               0.004852,               0.004852,               0.004852
                     54,                0.97643,                0.41266,                 1.0553,                0.97955,                0.97228,                0.98861,                0.72363,                 1.0623,                0.34043,                  1.092,               0.004753,               0.004753,               0.004753
                     55,                0.97746,                0.40971,                 1.0563,                0.97973,                0.97198,                0.98863,                0.72359,                 1.0626,                0.33968,                 1.0919,               0.004654,               0.004654,               0.004654
                     56,                0.97608,                 0.4109,                 1.0538,                0.98071,                0.97174,                0.98891,                0.72341,                 1.0628,                0.33936,                 1.0918,               0.004555,               0.004555,               0.004555
                     57,                0.96937,                0.40237,                  1.052,                0.98134,                0.97153,                 0.9892,                0.72354,                 1.0629,                 0.3391,                 1.0917,               0.004456,               0.004456,               0.004456
                     58,                0.96304,                0.40558,                 1.0481,                0.98188,                0.97188,                0.98905,                 0.7231,                 1.0632,                0.33895,                  1.092,               0.004357,               0.004357,               0.004357
                     59,                0.96424,                0.40197,                 1.0497,                0.98224,                0.97228,                0.98877,                0.72297,                 1.0643,                0.33904,                 1.0923,               0.004258,               0.004258,               0.004258
                     60,                0.96285,                 0.4044,                 1.0497,                0.98139,                0.97337,                0.98862,                0.72342,                 1.0645,                0.33918,                 1.0926,               0.004159,               0.004159,               0.004159
                     61,                0.96137,                 0.4016,                 1.0483,                0.98139,                0.97431,                0.98872,                0.72329,                 1.0645,                0.33955,                 1.0929,                0.00406,                0.00406,                0.00406
                     62,                0.95963,                0.40006,                 1.0451,                0.98049,                  0.975,                0.98745,                0.72245,                  1.065,                0.33917,                 1.0933,               0.003961,               0.003961,               0.003961
                     63,                0.95679,                0.40005,                 1.0464,                0.98042,                  0.975,                0.98889,                0.72273,                 1.0652,                0.33933,                 1.0933,               0.003862,               0.003862,               0.003862
                     64,                0.95273,                0.39469,                 1.0414,                0.97986,                0.97446,                0.98791,                0.72268,                 1.0655,                0.33882,                 1.0934,               0.003763,               0.003763,               0.003763
                     65,                0.94559,                0.39636,                   1.04,                0.97978,                0.97432,                0.98798,                0.72243,                 1.0653,                0.33861,                 1.0935,               0.003664,               0.003664,               0.003664
                     66,                0.94497,                0.39195,                 1.0453,                0.97924,                0.97413,                 0.9876,                0.72218,                 1.0657,                0.33835,                 1.0937,               0.003565,               0.003565,               0.003565
                     67,                0.93975,                0.38856,                  1.039,                0.97905,                0.97446,                0.98888,                 0.7233,                 1.0663,                0.33804,                  1.094,               0.003466,               0.003466,               0.003466
                     68,                0.93729,                0.38825,                 1.0373,                0.97871,                0.97414,                0.98855,                 0.7229,                 1.0669,                0.33839,                 1.0943,               0.003367,               0.003367,               0.003367
