                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0605,                 1.1653,                 1.2072,                0.62867,                0.42308,                0.47013,                0.32032,                 1.1388,                 1.2235,                 1.2728,              0.0016733,              0.0016733,              0.0016733
                     35,                 1.0498,                 1.1463,                 1.1918,                0.63545,                0.42632,                0.47678,                0.33116,                 1.1179,                 1.2035,                 1.2492,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.0667,                 1.1568,                 1.1952,                0.64905,                0.41223,                0.46065,                0.32848,                 1.0919,                  1.235,                 1.2461,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.0404,                 1.1206,                 1.1886,                0.63268,                0.44083,                 0.4715,                0.33055,                 1.0827,                  1.209,                 1.2312,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.0371,                 1.1071,                 1.1841,                0.59822,                 0.4497,                0.47625,                0.32951,                 1.0809,                 1.1944,                 1.2386,              0.0016337,              0.0016337,              0.0016337
                     39,                 1.0436,                 1.1057,                 1.1868,                0.71312,                0.39546,                0.46134,                 0.3225,                 1.0956,                 1.2189,                 1.2505,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.0072,                 1.0986,                 1.1713,                0.68683,                0.41311,                0.47135,                0.33157,                 1.0784,                 1.2061,                 1.2306,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.0135,                 1.0955,                 1.1699,                0.67779,                0.41716,                0.47878,                0.34601,                 1.0741,                 1.1736,                 1.2487,               0.001604,               0.001604,               0.001604
                     42,                 1.0061,                 1.0713,                 1.1644,                0.66035,                0.41026,                0.47214,                0.33782,                 1.0555,                 1.1991,                 1.2254,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.0124,                 1.0721,                 1.1627,                0.68201,                0.41519,                0.47849,                0.33822,                 1.1055,                 1.2039,                 1.2405,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.0139,                 1.0613,                 1.1599,                0.66362,                0.43393,                0.48229,                 0.3456,                 1.0783,                  1.177,                  1.234,              0.0015743,              0.0015743,              0.0015743
                     45,                0.99219,                 1.0593,                  1.157,                0.67488,                0.43294,                0.48425,                0.34015,                 1.1041,                 1.1995,                 1.2452,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.0166,                  1.059,                 1.1653,                0.61646,                0.45661,                0.48631,                0.34743,                 1.0753,                 1.1411,                  1.244,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.0145,                 1.0469,                 1.1655,                0.62868,                0.43984,                0.48027,                 0.3398,                 1.0485,                 1.1688,                 1.2141,              0.0015446,              0.0015446,              0.0015446
                     48,                0.98032,                 1.0422,                  1.154,                0.71115,                0.41276,                0.47788,                0.34218,                 1.0654,                 1.1902,                 1.2223,              0.0015347,              0.0015347,              0.0015347
                     49,                0.96791,                 1.0013,                 1.1425,                0.65113,                0.43787,                0.49442,                0.35398,                 1.0373,                 1.1285,                 1.2048,              0.0015248,              0.0015248,              0.0015248
                     50,                0.97443,                 1.0126,                 1.1408,                0.68601,                0.43491,                0.49655,                0.35359,                 1.0538,                 1.1261,                  1.224,              0.0015149,              0.0015149,              0.0015149
                     51,                0.97222,                0.99497,                 1.1439,                0.70997,                0.43294,                0.48862,                0.34918,                 1.0671,                 1.1452,                 1.2269,               0.001505,               0.001505,               0.001505
                     52,                0.96013,                0.99448,                 1.1274,                0.68588,                0.42505,                0.48772,                0.34714,                 1.0536,                 1.1721,                 1.2074,              0.0014951,              0.0014951,              0.0014951
                     53,                 0.9517,                0.96245,                 1.1308,                0.67068,                0.42505,                0.49172,                0.35169,                 1.0449,                 1.1504,                 1.2137,              0.0014852,              0.0014852,              0.0014852
